created_at,cost_total,tokens_prompt,tokens_completion,tokens_reasoning,model_permaslug,provider_name,variant,finish_reason_normalized,generation_time_ms,time_to_first_token_ms
2026-01-15 06:46:54.349,0.002409,238,113,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,3806,1934
2026-01-15 06:46:54.348,0.025558,207,2530,2409,google/gemini-2.5-pro,Google,standard,stop,31537,8077
2026-01-15 06:46:45.449,0.003846,198,250,146,openai/gpt-5.2-20251211,OpenAI,standard,stop,7040,4708
2026-01-15 06:46:45.427,0.017607,206,1735,1626,google/gemini-2.5-pro,Google,standard,stop,18240,2685
2026-01-15 06:46:45.425,0.00261,225,129,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,4364,1919
2026-01-15 06:46:45.422,9.9e-05,202,359,268,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,7155,760
2026-01-15 06:46:37.142,0.002484,353,95,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,2494,884
2026-01-15 06:46:37.141,0.000189,329,693,612,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,13257,816
2026-01-15 06:46:37.136,0.016773,315,1638,1539,google/gemini-2.5-pro,Google,standard,stop,16689,1814
2026-01-15 06:46:37.127,0.007392,304,490,383,openai/gpt-5.2-20251211,OpenAI,standard,stop,11591,5602
2026-01-15 06:46:36.760,0.007869,209,536,407,openai/gpt-5.2-20251211,OpenAI,standard,stop,11461,5518
2026-01-15 06:46:36.758,0.018563,219,1829,1679,google/gemini-2.5-pro,Google,standard,stop,18237,2222
2026-01-15 06:46:36.756,0.000116,215,422,323,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,7715,756
2026-01-15 06:46:36.755,0.002553,236,123,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,4612,1777
2026-01-15 06:46:17.658,0.000161,188,609,521,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,11610,1021
2026-01-15 06:46:17.654,0.002235,205,108,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,3190,715
2026-01-15 06:46:17.653,0.004161,186,274,166,openai/gpt-5.2-20251211,OpenAI,standard,stop,6260,4278
2026-01-15 06:46:17.644,0.01864,192,1840,1721,google/gemini-2.5-pro,Google,standard,stop,18433,2160
2026-01-15 06:46:16.643,0.002703,256,129,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,4044,1528
2026-01-15 06:46:16.627,0.000261,239,999,924,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,20263,1539
2026-01-15 06:46:16.624,0.007778,221,528,403,openai/gpt-5.2-20251211,OpenAI,standard,stop,10491,8738
2026-01-15 06:46:16.622,0.015481,233,1519,1396,google/gemini-2.5-pro,Google,standard,stop,14984,2275
2026-01-15 06:46:01.566,0.000227,199,870,782,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,43242,1226
2026-01-15 06:46:01.547,0.002529,218,125,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,4354,1966
2026-01-15 06:46:01.545,0.005334,192,357,244,openai/gpt-5.2-20251211,OpenAI,standard,stop,10550,6537
2026-01-15 06:46:01.538,0.016391,201,1614,1492,google/gemini-2.5-pro,Google,standard,stop,16476,1997
2026-01-15 06:45:57.801,0.002532,224,124,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,4198,2091
2026-01-15 06:45:57.800,0.004112,198,269,170,openai/gpt-5.2-20251211,OpenAI,standard,stop,6841,3998
2026-01-15 06:45:57.780,0.000151,212,565,486,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,10955,1242
2026-01-15 06:45:57.774,0.017647,206,1739,1623,google/gemini-2.5-pro,Google,standard,stop,18280,2328
2026-01-15 06:45:55.054,0.020893,187,2066,1963,google/gemini-2.5-pro,Google,standard,stop,22078,2646
2026-01-15 06:45:55.053,0.005831,180,394,282,openai/gpt-5.2-20251211,OpenAI,standard,stop,11232,6592
2026-01-15 06:45:55.052,0.002019,198,95,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,4458,2251
2026-01-15 06:45:55.050,0.000125,185,466,378,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,9527,1138
2026-01-15 06:45:41.628,0.000219,209,837,749,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,14896,1074
2026-01-15 06:45:41.624,0.002088,216,96,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,2097,748
2026-01-15 06:45:41.450,0.015401,201,1515,1402,google/gemini-2.5-pro,Google,standard,stop,15833,2758
2026-01-15 06:45:41.441,0.003052,192,194,111,openai/gpt-5.2-20251211,OpenAI,standard,stop,5916,3459
2026-01-15 06:45:38.614,0.000164,313,597,529,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,11289,789
2026-01-15 06:45:38.430,0.016267,310,1588,1479,google/gemini-2.5-pro,Google,standard,stop,16140,2605
2026-01-15 06:45:38.428,0.002859,348,121,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,3215,673
2026-01-15 06:45:38.426,0.003923,298,243,137,openai/gpt-5.2-20251211,OpenAI,standard,stop,5724,3960
2026-01-15 06:45:22.686,0.000141,311,505,432,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,38600,1452
2026-01-15 06:45:22.682,0.002727,344,113,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,3489,998
2026-01-15 06:45:22.680,0.003979,298,247,140,openai/gpt-5.2-20251211,OpenAI,standard,stop,6687,4405
2026-01-15 06:45:22.497,0.018723,307,1834,1726,google/gemini-2.5-pro,Google,standard,stop,18493,3347
2026-01-15 06:45:18.860,0.000318,313,1211,1134,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,22311,894
2026-01-15 06:45:18.847,0.013016,309,1263,1177,google/gemini-2.5-pro,Google,standard,stop,13121,3012
2026-01-15 06:45:18.840,0.002766,342,116,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,3109,757
2026-01-15 06:45:18.823,0.006163,298,403,311,openai/gpt-5.2-20251211,OpenAI,standard,stop,9991,5470
2026-01-15 06:45:14.941,0.00578,215,386,269,openai/gpt-5.2-20251211,OpenAI,standard,stop,10700,6941
2026-01-15 06:45:14.657,0.017225,228,1694,1546,google/gemini-2.5-pro,Google,standard,stop,19771,2437
2026-01-15 06:45:14.655,0.000333,223,1288,1201,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,23464,1648
2026-01-15 06:45:14.642,0.00264,250,126,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,3585,944
2026-01-15 06:45:01.886,0.00028,221,1078,975,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,20292,929
2026-01-15 06:45:01.863,0.002718,246,132,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,5205,2374
2026-01-15 06:45:01.862,0.005472,215,364,228,openai/gpt-5.2-20251211,OpenAI,standard,stop,8323,5625
2026-01-15 06:45:01.858,0.013851,225,1357,1245,google/gemini-2.5-pro,Google,standard,stop,14045,2171
2026-01-15 06:45:00.268,0.000168,196,635,562,qwen/qwen3-8b-04-28,AtlasCloud,standard,stop,11552,803
2026-01-15 06:45:00.266,0.002682,219,135,0,anthropic/claude-4.5-sonnet-20250929,Google,standard,stop,3752,1605
2026-01-15 06:45:00.264,0.00392,192,256,154,openai/gpt-5.2-20251211,OpenAI,standard,stop,6367,4319
2026-01-15 06:45:00.262,0.013951,201,1370,1244,google/gemini-2.5-pro,Google,standard,stop,13809,1758
